CHAMADO,ID DETENTORA,SITE,STATUS,VALIDADE,ENDEREÇO,CLUSTER,SUPERVISOR
417077,TCMGIIN0001,MGING01,Liberado,22/09/2026,A -- SN,SUL,Adriano Francisco de Paula
427574,TCMGBHO0003,MGBEL03,Aguardando Aprovação,07/10/2026,AFONSO PENA SN,BH,Renato Parreiras
417122,TCMGSBA0001,MGSBA01,Liberado,22/09/2026,AIMORES,SUL,Adriano Francisco de Paula
427666,TCMGNLM0004,MGNVL32,Aguardando Aprovação,07/10/2026,ALAMEDA DA SERRA 405,BH,Renato Parreiras
427662,TCMGMTL0002,MGMTL02,Aguardando Aprovação,07/10/2026,ALAMEDA DAS FALCATAS SN,BH,Renato Parreiras
427677,TCMGRBN0002,MGRBN08,Aguardando Aprovação,07/10/2026,ALAMEDA DOS CARDEAIS 400,BH,Rafael Porto Alves da Cruz
427676,TCMGRBN0001,MGRBN03,Aguardando Aprovação,07/10/2026,ALAMEDA DOS MERGULHOES 184,BH,Rafael Porto Alves da Cruz
427996,TCMGACP0001,MGACP01,Aguardando Aprovação,17/10/2026,ALTO CAPARAO 36979000 SN,LESTE,Paulo De Freitas Pereira
417033,TCMGBRE0002,MGALB80,Liberado,22/09/2026,ALTO DA TORRE- S/N,SUL,Adriano Francisco de Paula
427997,TCMGADM0001,MGADM01,Aguardando Aprovação,17/10/2026,ALVORADA DE MINAS 39140000- SN,LESTE,Paulo De Freitas Pereira
428070,TCMGIPG0005,MGIPG03,Aguardando Aprovação,17/11/2026,AMAZONAS,LESTE,Paulo De Freitas Pereira
427616,TCMGBHO0060,MGSAVS1,Aguardando Aprovação,07/10/2026,ANTONIO DE ALBUQUERQUE 1524,BH,Renato Parreiras
427973,TCMGCTU0001,MGCTU80,Aguardando Aprovação,17/11/2026,ANTONIO FRANCISCO BATISTA- S/N,NORTE,Paulo De Freitas Pereira
417081,TCMGILI0002,MGILI02,Liberado,22/09/2026,ARILDO VILELA MOSCARDINI- SN,SUL,Adriano Francisco de Paula
427785,TCMGSLG0004,MGSLG07,Aguardando Aprovação,07/10/2026,ARIO MARO 363,METROPOLITANO,Leandro de Menezes Assunção
427638,TCMGBHO0081,MGSAV23,Aguardando Aprovação,07/10/2026,AV AFONSO PENA 2300,BH,Renato Parreiras
427602,TCMGBHO0044,MGPAM07,Aguardando Aprovação,07/10/2026,AV PRESIDENTE ANTONIO CARLOS 7781,BH,Rafael Porto Alves da Cruz
427692,TTMGBHO0001,MGCJA41,Aguardando Aprovação,07/10/2026,AV PRUDENTE DE MORAIS 44,BH,Renato Parreiras
427921,TCMGIUA0002,MGIUA04,Aguardando Aprovação,18/10/2026,AVENIDA  29 X AVENIDA  36- SN,OESTE,Arthur Gomes de Paulo
427626,TCMGBHO0070,MGPAM28,Aguardando Aprovação,07/10/2026,AVENIDA  ABRAHAO CARAM 820- SN,BH,Rafael Porto Alves da Cruz
427944,TCMGUBE0009,MGULA16,Aguardando Aprovação,18/10/2026,AVENIDA  AFONSO PENA SN,OESTE,Arthur Gomes de Paulo
427950,TCMGURA0001,MGURA04,Aguardando Aprovação,18/10/2026,AVENIDA  ALEXANDRE BARBOSA SN,OESTE,Arthur Gomes de Paulo
427585,TCMGBHO0020,MGCEN17,Aguardando Aprovação,07/10/2026,AVENIDA  ALFREDO BALENA- 189,BH,Renato Parreiras
417061,TCMGDFS0001,MGDFS01,Liberado,22/09/2026,AVENIDA  ANTENOR PEREIRA MORAIS- SN,SUL,Adriano Francisco de Paula
417135,TCMGSSQ0001,MGSSQ01,Liberado,22/09/2026,AVENIDA  AQUINO ANTONO DE CARVALHO SN,SUL,Adriano Francisco de Paula
427577,TCMGBHO0006,MGBEL20,Aguardando Aprovação,07/10/2026,AVENIDA  BANDEIRANTES 1485,BH,Renato Parreiras
427744,TCMGJML0001,MGJML02,Aguardando Aprovação,07/10/2026,AVENIDA  CARANDAI- 1115,METROPOLITANO,Arthur Santos de Oliveira
427595,TCMGBHO0036,MGFTA02,Aguardando Aprovação,07/10/2026,AVENIDA  CONTAGEM- 360,BH,Rafael Porto Alves da Cruz
427599,TCMGBHO0041,MGFTA25,Aguardando Aprovação,07/10/2026,AVENIDA  CONTORNO- 2333,BH,Rafael Porto Alves da Cruz
427784,TCMGSLG0003,MGSLG06,Aguardando Aprovação,07/10/2026,AVENIDA  CORNELIO VIANA SN,METROPOLITANO,Leandro de Menezes Assunção
417088,TCMGLAV0001,MGLAV03,Liberado,22/09/2026,AVENIDA  CORONEL JUVENTINO DIAS TEIXEIRA- SN,SUL,Adriano Francisco de Paula
427594,TCMGBHO0035,MGDCA12,Aguardando Aprovação,07/10/2026,AVENIDA  DOM JOSE GASPAR 500,BH,Renato Parreiras
427980,TCMGJQU0001,MGJQU01,Aguardando Aprovação,17/11/2026,AVENIDA  DOS ANDRADAS- SN,NORTE,Paulo De Freitas Pereira
417032,TCMGBRA0001,MGBRS01,Liberado,22/09/2026,AVENIDA  DR CARLOS PIOLI FILHO 610,SUL,Adriano Francisco de Paula
427807,TCMGPDV0001,MGPDV01,Aguardando Aprovação,07/10/2026,AVENIDA  DR JORGE BACHA 3,SUL,Adriano Francisco de Paula
428059,TCMGGNH0001,MGGNH01,Aguardando Aprovação,17/11/2026,AVENIDA  GOERNADOR MILTON CAMPOS- 921,LESTE,Paulo De Freitas Pereira
417041,TCMGCBQ0002,MGCBQ02,Liberado,22/09/2026,AVENIDA  GOIAS- SN,SUL,Adriano Francisco de Paula
427960,TCMGMCL0007,MGMCL20,Aguardando Aprovação,17/10/2026,AVENIDA  INDUSTRIAL 975,NORTE,Paulo De Freitas Pereira
428034,TCMGSJM0001,MGSJM01,Aguardando Aprovação,17/10/2026,AVENIDA  JACOB DORNELAS NETO 323 SN,LESTE,Paulo De Freitas Pereira
427644,TCMGCTG0003,MGCTG15,Aguardando Aprovação,07/10/2026,AVENIDA  JOAO CESAR DE OLIVEIRA 3481,BH,Rafael Porto Alves da Cruz
427935,TCMGTPC0001,MGTPC02,Aguardando Aprovação,18/10/2026,AVENIDA  JOAO ELIAS DA FONSECA SN,OESTE,Arthur Gomes de Paulo
427937,TCMGUBE0002,MGULA15,Aguardando Aprovação,18/10/2026,AVENIDA  JOAO PESSOA X RUA ARAGUARI- SN,OESTE,Arthur Gomes de Paulo
428084,TCMGMTN0001,MGMNT01,Aguardando Aprovação,17/11/2026,AVENIDA  JOSE MOL- 216,LESTE,Paulo De Freitas Pereira
417030,TCMGBLH0002,MGBOT01,Liberado,22/09/2026,AVENIDA  MAJOR ALBERTO FERNANDES- 341,SUL,Adriano Francisco de Paula
427600,TCMGBHO0042,MGOUP05,Aguardando Aprovação,07/10/2026,AVENIDA  MAURETTE JOSE DOS SANTOS 237,BH,Rafael Porto Alves da Cruz
417072,TCMGFDM0001,MGFDMR1,Liberado,22/09/2026,AVENIDA  MONSENHOR MANCINI- 108,SUL,Adriano Francisco de Paula
427951,TCMGURA0004,MGURA12,Aguardando Aprovação,18/10/2026,AVENIDA  ODILON FERNANDES 205,OESTE,Arthur Gomes de Paulo
